ID,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Metric,Technology Name,Spatial Scale,Data Source,Unit,Country Name,Country Code
Onshore Wind Energy_Levelized Cost of Energy_DK,0.2537251609456097,0.23786889953177456,0.23051218770764506,0.21994799759560973,0.2305534374059041,0.21017890854908325,0.21092560735836835,0.19960589274108492,0.19607888039828425,0.1969666320153406,,0.16396702959618165,0.15975894952862066,0.16411944348166524,0.16750258307311183,0.16445367847158113,0.17903303712370897,0.17266074877619847,0.12682140512434817,0.10183699917022707,0.09083393340759462,0.10650929051959628,0.1318891090484861,,0.1270214948845332,,0.12802141628326322,0.12500819530773757,0.09740814084136248,0.09516853865248107,,0.06773098183039528,0.05929609089398653,0.04898292604054667,0.046792360488216986,0.04850051456899074,0.0427686155112111,,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,Denmark,DK
Onshore Wind Energy_Levelized Cost of Energy_BR,,,,,,,,,,,,,,,0.05678045837772918,,,0.15021145391677038,0.12752486765144658,0.14466663821777961,,0.1358044701999411,0.09827509590938603,0.10368494050746004,0.0913627017134735,0.12045395539778804,0.11706671747407063,0.09455934525608073,0.09039301019553406,0.08372298672726661,0.06879636421841882,0.05910164530009251,0.057323338169116896,0.048142218057426404,0.04739147119559293,0.03645494797117745,0.034476309309436494,0.025327738364457526,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,Brazil,BR
Onshore Wind Energy_Levelized Cost of Energy_CA,,,,,,,0.20754206873848607,,0.19785294370672832,,0.09927171917227921,,0.16595551773461728,,,0.16556131829187548,0.13731069235708157,0.10382598475698065,0.09780046816677879,0.09905035039168208,0.0970832439726661,0.0887400365054836,0.09401111227892345,0.10662477127448275,0.10710880346475188,0.1064015517721867,0.1187863717041295,0.1050139063170984,0.11641346085451638,0.10718644926338097,0.09367932173934398,0.08610784168541631,0.08632831933816652,0.06963691066455845,0.05727199508402018,0.060947665310058866,0.039044565494356594,0.03169285168859545,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,Canada,CA
Onshore Wind Energy_Levelized Cost of Energy_CN,,,,,,,,,,,,,0.19431773255982335,0.19431773255982335,0.17836035434500416,0.17460776042273335,0.15963588188455,0.13338642634584524,0.15027364565432297,0.10555247702929352,0.11139846077732547,0.10918918474955423,0.10367521405561815,0.09088812639015138,0.09614370745082422,0.09734123243793102,0.08870467595343985,0.08375841039640874,0.08233933583566021,0.07729909961692177,0.07283989052197644,0.06765422929917576,0.06254728365633304,0.04929330490682926,0.051664877459999994,0.040194031625046256,0.03700230800677039,0.029961470515609753,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,China,CN
Onshore Wind Energy_Levelized Cost of Energy_FR,,,,,,,,0.21779991947853655,,0.2314623920888982,,,0.21254374575900756,0.19786712579780485,0.19586143450582,0.18771780330378465,0.14963877429668626,0.1517406603257611,0.15715346821811604,0.12174805275479393,0.13687766092188391,0.13523992733664422,0.1361655866550883,0.12821545215090832,0.17120636394312866,0.14138254005153908,0.14395766952618164,0.1271583445214634,0.113371795463238,0.10290667245116063,0.09425255015724979,0.08818289331963834,0.0808700842514634,0.0885636702160471,0.06897494816455003,0.05657604991031959,0.049945111972682914,0.04649456759926829,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,France,FR
Onshore Wind Energy_Levelized Cost of Energy_DE,0.27063386681207735,,,,,,0.23571120728989906,0.22317456613132883,0.2426484781808326,0.23757605224190914,0.17945398002989063,0.22050395974286793,0.20265699681302773,0.2013429983139613,0.18751732414319594,0.199869333881783,0.1969933808276871,0.20565373673740114,0.16381265801086625,0.14965144050761983,0.1497692576649285,0.1550300474908915,0.15951225581462572,0.1466373679861564,0.17595335919247265,0.1625337397811354,0.15209988647730022,0.14543911661752731,0.12981715978011774,0.12126171732532379,0.10808965494151386,0.09709834607568543,0.08751269136383513,0.08491782121433136,0.07146948887212783,0.05860665106054667,0.05002660577475189,0.05494630759160638,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,Germany,DE
Onshore Wind Energy_Levelized Cost of Energy_IN,,,,,,,0.2539756085222876,0.2902005502984188,0.2659959657230866,0.2659959657230866,0.2659959657230866,0.24985957564960468,0.2417913811477544,0.2220370269926745,0.22565499107427245,0.2175867965724222,0.21202098641485279,0.16318225085071486,0.14766544388989905,0.1599942468621194,0.1329000245899327,0.12370607459076534,0.14225308102657694,0.11134184474005886,0.1182981909018671,0.09120223986305297,0.0961512162459714,0.0887144783597561,0.10263908162868796,0.10163027248667787,0.0975022634120185,0.0825041163933053,0.07162669858730866,0.057608540801606385,0.04521594462918418,0.045052981630016815,0.0408552688133137,0.03199337786883936,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,India,IN
Onshore Wind Energy_Levelized Cost of Energy_IT,,,,,,0.21863367174345666,,0.2077396808851135,0.22509129547778803,0.22001886953886457,0.20676029179942806,0.1955454553342809,0.2004979331114886,0.1864236032477712,0.18441791195578633,0.17627428075375104,0.1691536504128343,0.1417897715704289,0.1584270129362321,0.14319000407263244,0.12400092130193438,0.14041706454181663,0.1379348669712111,0.13687759887456682,0.14626409560576953,0.15650318773021865,0.1451567713709672,0.16663783603375104,0.1507759347327502,0.10960326607829267,0.1043757710566274,0.10071870646746003,0.07718899130386879,0.0934972567247687,0.06101678067237173,0.05614153254885618,0.05579865479558451,0.0437045147765349,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,Italy,IT
Onshore Wind Energy_Levelized Cost of Energy_JP,,,,,,,,,,,,,,,,,0.18042281572276703,,,,,0.1784681572792935,,,,,0.18210503402500416,0.15850870357806557,0.19817766513128676,0.1771547803231791,0.16561350650422202,0.13703627632973084,0.19087682263705633,0.134681430877418,0.15216892802470142,0.1303367964325736,0.1149306594200084,0.15036538903130361,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,Japan,JP
Onshore Wind Energy_Levelized Cost of Energy_MX,,,,,,,,,,,,,,,,,,,,,,,,0.0681380389749285,0.060175391238544984,0.08946238067303616,0.10564583363651807,0.09102885933330528,0.07108384233111016,0.08282251220086626,0.08082146696919258,0.0743065040254163,0.0742497991962994,0.0621468859005719,0.044235731811875525,0.06071046162623212,0.04921020857232968,0.04508195558752733,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,Mexico,MX
Onshore Wind Energy_Levelized Cost of Energy_ES,,,,,,,0.1634240150123465,0.16197697850722453,0.15387841291344825,0.15021473065698063,0.14063840229875524,0.13253821598626575,0.12887453800892346,0.12594973766957104,0.12151331812627417,0.11300167572842724,0.1176409343699243,0.1138656311296047,0.10777364260675357,0.10418071140825062,0.11487766780188392,0.10817311928079057,0.11166953587758618,0.12955334849507988,0.1276352145257359,0.12224121017979812,0.12505702333693017,0.11774711123659376,0.10165751874734229,0.09738617288177459,0.08138824246612278,0.06608324258038686,0.06096158530470983,0.059920428114878035,0.08230720174410429,0.041099661427670305,0.033077856923364166,0.026933547535281748,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,Spain,ES
Onshore Wind Energy_Levelized Cost of Energy_SE,0.2699452935015138,,,,,,0.23505530189177457,0.22254864563407062,0.24193649377566862,0.23686406783674513,0.22360549009730862,0.21239065363216145,0.2182297201741211,0.20326880154565177,0.20126311025366694,0.1931194790516316,,0.1564377695321783,0.1790171059401598,0.13871865937829267,0.15042921967385195,0.15566704878315388,0.15566704878315388,0.14099552312063918,0.15958340590102604,0.1536946501559041,0.12250077871208577,0.11668450386133723,0.11282154487849451,0.0898246524920185,0.09730133173392766,0.07890198935449956,0.06754062387095879,0.06081395120220352,0.04533774993128679,0.043342057885382666,0.04131869380584524,0.03891401900901598,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,Sweden,SE
Onshore Wind Energy_Levelized Cost of Energy_TR,,,,,,,,,,,,,,,0.09262472167733388,,0.08412530474051302,,,,,,,,,0.07247357813891504,0.13690144430038687,0.10138992899465096,0.09009883209769552,0.09088554821714885,0.09917791111733387,0.0862920730071825,0.07718946949612278,0.06971595680694702,0.07752200781285114,0.0740968696762153,0.05377770949163162,0.04774893541728342,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,TÃ¼rkiye,TR
Onshore Wind Energy_Levelized Cost of Energy_GB,,,,,,0.2183968349946257,0.21931383336343144,0.20752678691220353,0.22301899639092512,0.20462140524353237,0.2065181254000168,0.19530329000465094,0.20024302133732547,0.18618143791814126,0.18417574662615643,0.17603211435433977,0.12105182943794783,0.13728129476616482,0.14318651979484437,0.14297942403673672,0.1500880257563919,0.14194888442659376,0.14243668652626576,0.13516396965295205,0.14846468179980654,0.08211064333208579,0.10947466017628257,0.1123575978326745,0.10019460026861227,0.09973291260095878,0.09423120694995793,0.08603961424160637,0.07443193374666104,0.07067873753750209,0.049477049478090826,0.06040678173063078,0.04892667158936921,0.04518451980264928,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,United Kingdom,GB
Onshore Wind Energy_Levelized Cost of Energy_US,0.3464038370442641,0.3256508249022035,0.2944433704448528,0.2882018789115139,0.2246635016919764,0.2096987778513204,0.23137572375454163,0.22453867211805714,,,,,,,0.12898368886768713,0.12423730874260722,0.10846348788731705,0.10199383018281749,0.09652109848932716,0.08570550869523128,0.09440314327491169,0.08346958120521444,0.09434443367558452,0.09289322288371739,0.1057441251450126,0.11796778144998317,0.10980852074273338,0.11604978655221193,0.09848088439470983,0.08124863921205212,0.0670593046461396,0.0608390225974264,0.05592481196813288,0.049171836585845244,0.045317727903936074,0.04087582680111017,0.036522221170042043,0.03167895308957107,Levelized Cost of Energy,Onshore Wind Energy,National,IRENA,2022 USD/kWh,United States,US
