Year,Length (KM)
1964,515
1965,515
1966,515
1967,515
1968,515
1969,515
1970,515
1971,515
1972,676
1973,676
1974,676
1975,1069
1976,1069
1977,1191
1978,1191
1979,1191
1980,1191
1981,1616
1982,2391
1983,2391
1984,2391
1985,2470
1986,2490
1987,2490
1988,2490
1989,2792
1990,2806
1991,3236
1992,3960
1993,3960
1994,4411
1995,4567
1996,4567
1997,4884
1998,5034
1999,5283
2000,6018
2001,7047
2002,7352
2003,8453
2004,9230
2005,9251
2006,9830
2007,10864
2008,11724
2009,15432
2010,18161
2011,20469
2012,24260
2013,27227
2014,33397
2015,38828
2016,41115
2017,43936
2018,48755
2019,53458
2020,56167
2021,58839