Year,Thousand 1982 USD/MW
1969,26.47058824
1970,26.47058824
1971,3.781512605
1972,118.487395
1973,180.2521008
1974,86.97478992
1975,86.97478992
1976,173.9495798
1977,160.0840336
1978,117.2268908
1979,121.0084034
1980,118.1788223
1981,110.818426
1982,466.5000632
1983,149.0489869
1984,126.5723435
1985,175.9398909
1986,142.1137041
1987,157.4474512
1988,112.3013802
1989,6.635945713
1990,192.1189219
1991,52.4048575
1992,52.62730064
1993,52.83491424
1994,79.50337509
1995,162.9047229
1996,125.301946
1997,125.5293323
1998,42.54321164
1999,102.4069459
2000,104.186195
2001,102.7042107
2002,73.47678917
2003,76.88773992
2004,29.73329862
2005,26.61744284
2006,75.70302038
2007,124.8016168
2008,175.5297451
2009,304.5817215
2010,179.0860735